Sector Code - Calculated,Transaction Year - Calculated,Recipient Name,Reporting Organisation Narrative,x_transaction_value_usd_Sum
13020,2016,Guinea-Bissau,UNICEF,490005.817
13020,2016,Guyana,Aidsfonds - Soaaids Nederland,10964.28571
13020,2016,Guyana,"Foreign Affairs, Trade and Development Canada (DFATD)",73343.17798
13020,2016,Guyana,UNICEF,933.19
13020,2016,Haiti,Aidsfonds - Soaaids Nederland,7000
13020,2016,Haiti,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),553043.3634
13020,2016,Haiti,"Foreign Affairs, Trade and Development Canada (DFATD)",4327343.027
13020,2016,Haiti,Frontline AIDS,115071.3979
13020,2016,Haiti,Haiti Hospital Appeal,99251.9357
13020,2016,Haiti,Population Services International,3609081.839
13020,2016,Haiti,UNICEF,1403185.4
13020,2016,Haiti,U.S. Agency for International Development,61049601.95
13020,2016,Honduras,Bill and Melinda Gates Foundation,1484375.11
13020,2016,Honduras,"Foreign Affairs, Trade and Development Canada (DFATD)",2464444.078
13020,2016,Honduras,Sweden,14554.36218
13020,2016,Honduras,UNICEF,480777.64
13020,2016,Honduras,U.S. Agency for International Development,1342072.13
13020,2016,Hungary,Aidsfonds - Soaaids Nederland,3964.285714
13020,2016,India,Aidsfonds - Soaaids Nederland,8714.285714
13020,2016,India,Bill and Melinda Gates Foundation,61838002.5
13020,2016,India,CARE International UK,5309218.927
13020,2016,India,Child In Need Institute,70939.97625
13020,2016,India,EMMS International,482381.082
13020,2016,India,European Commission - International Partnerships,436006.3978
13020,2016,India,"Foreign, Commonwealth and Development Office",2919574.713
13020,2016,India,Frontline AIDS,334888.9753
13020,2016,India,Network for Enterprise Enhancement and Development Support,52086.0021
13020,2016,India,Options Consultancy Services,13463487.82
13020,2016,India,Population Services International,215388.624
13020,2016,India,Stichting Simavi,1541944.741
13020,2016,India,UNICEF,17346723.26
13020,2016,India,U.S. Agency for International Development,54067986.92
13020,2016,India,Voluntary Health Association Of India (VHAI),60296.4208
13020,2016,India,World Bank,-23469.52
13020,2016,Indonesia,Aidsfonds - Soaaids Nederland,8714.285714
13020,2016,Indonesia,Australian Aid,389513.7907
13020,2016,Indonesia,CHOICE for Youth and Sexuality,121100.9746
13020,2016,Indonesia,dance4life,313345.8298
13020,2016,Indonesia,Frontline AIDS,186192.5556
13020,2016,Indonesia,Plan International Netherlands,544258.8389
13020,2016,Indonesia,Royal Tropical Institute,242741.4568
13020,2016,Indonesia,Rutgers,5001693.354
13020,2016,Indonesia,Stichting Simavi,
13020,2016,Indonesia,UNICEF,1921879.54
13020,2016,Indonesia,U.S. Agency for International Development,23938874.69
13020,2016,Iran (Islamic Republic of),Australian Aid,10965.63425
13020,2016,Iran (Islamic Republic of),UNICEF,213123.557
13020,2016,Iraq,UNICEF,2260198.087
13020,2016,Iraq,U.S. Agency for International Development,-904521.63
13020,2016,Jamaica,Aidsfonds - Soaaids Nederland,10964.28571
13020,2016,Jamaica,European Commission - International Partnerships,1685732.393
13020,2016,Jamaica,"Foreign Affairs, Trade and Development Canada (DFATD)",2582.797788
13020,2016,Jamaica,UNICEF,315.96
13020,2016,Jamaica,U.S. Agency for International Development,5048.6
13020,2016,Japan,Aidsfonds - Soaaids Nederland,3964.285714
13020,2016,Jordan,European Commission - DG Neighbourhood and Enlargement Negotiations,93786.5632
13020,2016,Jordan,UNICEF,1040955.164
13020,2016,Jordan,U.S. Agency for International Development,25688455.53
13020,2016,Kazakhstan,Aidsfonds - Soaaids Nederland,8714.285714
13020,2016,Kazakhstan,UNICEF,701741.86
13020,2016,Kenya,ACK Development Services (ADS) - Nyanza,
13020,2016,Kenya,Aidsfonds - Soaaids Nederland,396338.4218
13020,2016,Kenya,Amref Flying Doctors,1602166.99
13020,2016,Kenya,Amref Health Africa in Kenya,678392.8305
13020,2016,Kenya,Bill and Melinda Gates Foundation,1175422.489
13020,2016,Kenya,CARE International UK,536067.3171
13020,2016,Kenya,Centre for the Study of Adolescence,
13020,2016,Kenya,Charity Projects Ltd (Comic Relief),652.5288
13020,2016,Kenya,CHOICE for Youth and Sexuality,107661.8399
13020,2016,Kenya,dance4life,313035.8933
13020,2016,Kenya,European Commission - International Partnerships,111464.4871
13020,2016,Kenya,"Foreign Affairs, Trade and Development Canada (DFATD)",1613264.283
13020,2016,Kenya,"Foreign, Commonwealth and Development Office",16665913.51
13020,2016,Kenya,Frontline AIDS,205794.7777
13020,2016,Kenya,Health Poverty Action,2719133.49
13020,2016,Kenya,International Planned Parenthood Federation,360885.6649
13020,2016,Kenya,International Rescue Committee Inc.,1030784.99
13020,2016,Kenya,IRC-UK,1007555.016
13020,2016,Kenya,Kisumu Medical Education Trust - KMET,
13020,2016,Kenya,MSI Reproductive Choices,6759602.08
13020,2016,Kenya,Norad - Norwegian Agency for Development Cooperation,61265.722
13020,2016,Kenya,Plan International Netherlands,402466.9839
13020,2016,Kenya,Population Services International,149160.8272
13020,2016,Kenya,Royal Tropical Institute,256324.3648
13020,2016,Kenya,Rutgers,5421289.482
13020,2016,Kenya,Save The Children International,5394914.325
13020,2016,Kenya,Stichting Simavi,
13020,2016,Kenya,Sweden,1.00E-10
13020,2016,Kenya,UNICEF,15986722.28
13020,2016,Kenya,U.S. Agency for International Development,27363873.85
13020,2016,Kenya,World Bank,45000000
13020,2016,Kiribati,New Zealand Ministry of Foreign Affairs and Trade,55764.4608
13020,2016,Korea (the Democratic People's Republic of),UNICEF,83389.08
13020,2016,Korea (the Republic of),Aidsfonds - Soaaids Nederland,3964.285714
13020,2016,Kosovo,UNICEF,665758.33
13020,2016,Kyrgyzstan,AFEW International,247333.0675
13020,2016,Kyrgyzstan,Aidsfonds - Soaaids Nederland,3964.285714
13020,2016,Kyrgyzstan,Frontline AIDS,113120.428
13020,2016,Kyrgyzstan,UNICEF,796262.846
13020,2016,Kyrgyzstan,World Bank,1215000
13020,2016,Lao People's Democratic Republic (the),UNICEF,7.661
13020,2016,Lao People's Democratic Republic (the),World Bank,1345974.06
13020,2016,Lebanon,Australian Aid,25237.59306
13020,2016,Lebanon,Frontline AIDS,4779.695045
13020,2016,Lebanon,Sweden,-1.00E-10
13020,2016,Lesotho,Aidsfonds - Soaaids Nederland,8714.285714
13020,2016,Lesotho,UNICEF,291291.802
13020,2016,Lesotho,World Bank,196423.91
13020,2016,Liberia,Sweden,6474609.946
13020,2016,Liberia,UNICEF,3832997.786
13020,2016,Liberia,U.S. Agency for International Development,48482260.05
13020,2016,Libya,UNICEF,236861.786
13020,2016,Lithuania,Aidsfonds - Soaaids Nederland,3964.285714
13020,2016,Madagascar,AFD,1536862.679
13020,2016,Madagascar,Aidsfonds - Soaaids Nederland,3964.285714
13020,2016,Madagascar,UNICEF,944829.219
13020,2016,Madagascar,U.S. Agency for International Development,28293375.58
13020,2016,Madagascar,World Bank,-131318.37
13020,2016,Malawi,Aidsfonds - Soaaids Nederland,150177.0042
13020,2016,Malawi,Amref Flying Doctors,1329041.262
13020,2016,Malawi,Amref Health Africa in Malawi,198001.415
13020,2016,Malawi,Bill and Melinda Gates Foundation,6617264.515
13020,2016,Malawi,Centre for Alternatives for Victimised Women and Children,
13020,2016,Malawi,Charity Projects Ltd (Comic Relief),301277.2224
13020,2016,Malawi,CHOICE for Youth and Sexuality,131224.2997
13020,2016,Malawi,"Foreign Affairs, Trade and Development Canada (DFATD)",17052.87389
13020,2016,Malawi,International Development Research Centre,292005.608
13020,2016,Malawi,Norad - Norwegian Agency for Development Cooperation,2270059.351
13020,2016,Malawi,Plan International Netherlands,607512.6717
13020,2016,Malawi,Royal Tropical Institute,200981.7574
13020,2016,Malawi,Rutgers,5030490.694
13020,2016,Malawi,Save The Children International,500778.9248
13020,2016,Malawi,Stichting Simavi,1239854.703
13020,2016,Malawi,UNICEF,4192279.562
13020,2016,Malawi,U.S. Agency for International Development,24228188.95
13020,2016,Malawi,Women and Children First (UK),177019.7204
13020,2016,Malawi,World Bank,7357663.58
13020,2016,Malaysia,Aidsfonds - Soaaids Nederland,25314.28571
13020,2016,Malaysia,Frontline AIDS,141934.3327
13020,2016,Maldives,UNICEF,3781.456
13020,2016,Mali,Aidsfonds - Soaaids Nederland,3964.285714
13020,2016,Mali,Bill and Melinda Gates Foundation,38350
13020,2016,Mali,"Foreign Affairs, Trade and Development Canada (DFATD)",8064394.488
13020,2016,Mali,Ministry of Foreign Affairs of the Netherlands,8197989.369
13020,2016,Mali,MSI Reproductive Choices,8266670.175
13020,2016,Mali,Sweden,0
13020,2016,Mali,UNICEF,9468119.886
13020,2016,Mali,U.S. Agency for International Development,26608810.11
13020,2016,Mali,World Bank,2111609.25
13020,2016,Mauritania,Aidsfonds - Soaaids Nederland,4750
13020,2016,Mauritania,Bill and Melinda Gates Foundation,31850
13020,2016,Mauritania,UNICEF,531394.406
13020,2016,Mauritius,Aidsfonds - Soaaids Nederland,3964.285714
13020,2016,Mexico,Aidsfonds - Soaaids Nederland,8714.285714
13020,2016,Mexico,Frontline AIDS,115071.3979
13020,2016,Mexico,International Development Research Centre,101685.2742
13020,2016,"Middle East, regional",Frontline AIDS,1906.887175
13020,2016,"Middle East, regional",Sweden,-2.22E-16
13020,2016,Moldova (the Republic of),,1053274.112
13020,2016,Mongolia,UNICEF,175341.576
13020,2016,Montenegro,Aidsfonds - Soaaids Nederland,3964.285714
13020,2016,Montenegro,UNICEF,26885.228
13020,2016,Morocco,Aidsfonds - Soaaids Nederland,8714.285714
13020,2016,Morocco,Frontline AIDS,115071.3979
13020,2016,Morocco,UNICEF,869546.532
13020,2016,Mozambique,Aidsfonds - Soaaids Nederland,8714.285714
13020,2016,Mozambique,Bill and Melinda Gates Foundation,-169742.3574
13020,2016,Mozambique,CHOICE for Youth and Sexuality,99719.28483
13020,2016,Mozambique,"Foreign Affairs, Trade and Development Canada (DFATD)",3827369.448
13020,2016,Mozambique,"Foreign, Commonwealth and Development Office",6719001.237
