Sector Code - Calculated,Transaction Year - Calculated,Recipient Name,Reporting Organisation Narrative,x_transaction_value_usd_Sum
13020,2016,,Plan International Netherlands,13723998.22
13020,2016,Afghanistan,Cyan International,97379.30573
13020,2016,Afghanistan,HealthProm,50468.48822
13020,2016,Afghanistan,Ministry for Foreign Affairs of Finland,885280
13020,2016,Afghanistan,Sweden,1051831.941
13020,2016,Afghanistan,UNICEF,34158778.14
13020,2016,Afghanistan,U.S. Agency for International Development,53211046.98
13020,2016,"Africa, regional",Bill and Melinda Gates Foundation,9991458.65
13020,2016,"Africa, regional","Foreign Affairs, Trade and Development Canada (DFATD)",3407433.02
13020,2016,"Africa, regional","Foreign, Commonwealth and Development Office",17575585.55
13020,2016,"Africa, regional",Frontline AIDS,9578.93144
13020,2016,"Africa, regional",International Development Research Centre,977749.9197
13020,2016,"Africa, regional",Ministry of Foreign Affairs of the Netherlands,2462019.01
13020,2016,"Africa, regional",Rutgers,3710836.586
13020,2016,"Africa, regional",Sweden,29217.55391
13020,2016,"Africa, regional",U.S. Agency for International Development,9255241.72
13020,2016,Albania,Aidsfonds - Soaaids Nederland,8714.285714
13020,2016,Albania,UNICEF,
13020,2016,Algeria,Aidsfonds - Soaaids Nederland,4750
13020,2016,Algeria,UNICEF,69999.48
13020,2016,"America, regional",European Commission - International Partnerships,469085.1616
13020,2016,"America, regional","Foreign Affairs, Trade and Development Canada (DFATD)",2020973.674
13020,2016,"America, regional",U.S. Agency for International Development,4036766.21
13020,2016,Angola,Aidsfonds - Soaaids Nederland,8714.285714
13020,2016,Angola,UNICEF,672692.11
13020,2016,Angola,U.S. Agency for International Development,2459349.18
13020,2016,Angola,World Bank,20837667
13020,2016,Antigua and Barbuda,Aidsfonds - Soaaids Nederland,15714.28571
13020,2016,Argentina,Aidsfonds - Soaaids Nederland,4750
13020,2016,Argentina,International Development Research Centre,98694.53088
13020,2016,Argentina,UNICEF,1885333.098
13020,2016,Argentina,World Bank,-13745718.4
13020,2016,Armenia,Aidsfonds - Soaaids Nederland,4750
13020,2016,Armenia,UNICEF,440823.719
13020,2016,Armenia,U.S. Agency for International Development,1090150.74
13020,2016,Armenia,World Bank,491250.55
13020,2016,"Asia, regional",Bill and Melinda Gates Foundation,8478908.65
13020,2016,"Asia, regional",European Commission - International Partnerships,940342.2028
13020,2016,"Asia, regional","Foreign Affairs, Trade and Development Canada (DFATD)",2322733.674
13020,2016,"Asia, regional","Foreign, Commonwealth and Development Office",6237560.609
13020,2016,"Asia, regional",Frontline AIDS,32622.40377
13020,2016,"Asia, regional",Rutgers,3710836.586
13020,2016,"Asia, regional",Sweden,0
13020,2016,"Asia, regional",U.S. Agency for International Development,3172516.66
13020,2016,Australia,Aidsfonds - Soaaids Nederland,8714.285714
13020,2016,Austria,Aidsfonds - Soaaids Nederland,3964.285714
13020,2016,Azerbaijan,UNICEF,3695.7
13020,2016,Azerbaijan,U.S. Agency for International Development,-0.02
13020,2016,Bahamas (the),Aidsfonds - Soaaids Nederland,7000
13020,2016,Bangladesh,Aidsfonds - Soaaids Nederland,20564.28571
13020,2016,Bangladesh,Bill and Melinda Gates Foundation,4040747
13020,2016,Bangladesh,dance4life,302048.6832
13020,2016,Bangladesh,European Commission - International Partnerships,1487396.552
13020,2016,Bangladesh,"Foreign Affairs, Trade and Development Canada (DFATD)",6633509.872
13020,2016,Bangladesh,"Foreign, Commonwealth and Development Office",5972722.547
13020,2016,Bangladesh,International Development Research Centre,764584.4
13020,2016,Bangladesh,LAMB Health Care Foundation,287172.3008
13020,2016,Bangladesh,Ministry of Foreign Affairs of the Netherlands,4043110.278
13020,2016,Bangladesh,MSI Reproductive Choices,4244966.141
13020,2016,Bangladesh,Population Services and Training Center (PSTC),538135.5887
13020,2016,Bangladesh,Rutgers,4790682.727
13020,2016,Bangladesh,Sweden,3193172.577
13020,2016,Bangladesh,UNICEF,7271593.201
13020,2016,Bangladesh,U.S. Agency for International Development,53776014.04
13020,2016,Bangladesh,Women and Children First (UK),167411.2033
13020,2016,Bangladesh,Y Care International,338585.4122
13020,2016,Bangladesh,Young Women's Christian Association of Bangladesh,342477.796
13020,2016,Barbados,Aidsfonds - Soaaids Nederland,7000
13020,2016,Belarus,Aidsfonds - Soaaids Nederland,4750
13020,2016,Belarus,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),389385.9135
13020,2016,Belarus,UNICEF,4036.14
13020,2016,Belgium,Aidsfonds - Soaaids Nederland,4750
13020,2016,Belize,Aidsfonds - Soaaids Nederland,11750
13020,2016,Belize,Bill and Melinda Gates Foundation,503494.11
13020,2016,Benin,AFD,1423347.784
13020,2016,Benin,Aidsfonds - Soaaids Nederland,4750
13020,2016,Benin,Cordaid,1126636.251
13020,2016,Benin,"Foreign Affairs, Trade and Development Canada (DFATD)",601628.9981
13020,2016,Benin,International Development Research Centre,494293.1776
13020,2016,Benin,Ministry of Foreign Affairs of the Netherlands,15397779.06
13020,2016,Benin,Sweden,290247.3357
13020,2016,Benin,UNICEF,3479176.285
13020,2016,Benin,U.S. Agency for International Development,5286092.49
13020,2016,Benin,,3030.1928
13020,2016,Bhutan,Bill and Melinda Gates Foundation,82000
13020,2016,Bhutan,"Foreign Affairs, Trade and Development Canada (DFATD)",2410.611269
13020,2016,Bhutan,UNICEF,1134802.592
13020,2016,Bolivia (Plurinational State of),dance4life,302048.6832
13020,2016,Bolivia (Plurinational State of),"Foreign Affairs, Trade and Development Canada (DFATD)",172260.6215
13020,2016,Bolivia (Plurinational State of),Frontline AIDS,112235.1956
13020,2016,Bolivia (Plurinational State of),"Ministry of Foreign Affairs, Denmark",120366
13020,2016,Bolivia (Plurinational State of),Sweden,1395438.529
13020,2016,Bolivia (Plurinational State of),UNICEF,114904.992
13020,2016,Bolivia (Plurinational State of),U.S. Agency for International Development,-13460.74
13020,2016,Bosnia and Herzegovina,Aidsfonds - Soaaids Nederland,3964.285714
13020,2016,Botswana,Aidsfonds - Soaaids Nederland,8714.285714
13020,2016,Botswana,Frontline AIDS,115071.3979
13020,2016,Brazil,Aidsfonds - Soaaids Nederland,3964.285714
13020,2016,Brazil,UNICEF,49229.64
13020,2016,Brazil,World Bank,-2590211.25
13020,2016,Bulgaria,Aidsfonds - Soaaids Nederland,3964.285714
13020,2016,Bulgaria,UNICEF,162372.41
13020,2016,Burkina Faso,Aidsfonds - Soaaids Nederland,8714.285714
13020,2016,Burkina Faso,Bill and Melinda Gates Foundation,-19728.2852
13020,2016,Burkina Faso,Frontline AIDS,115071.3979
13020,2016,Burkina Faso,Sweden,139272.6269
13020,2016,Burkina Faso,UNICEF,2014016.095
13020,2016,Burkina Faso,World Bank,2249005.56
13020,2016,Burundi,Aidsfonds - Soaaids Nederland,3964.285714
13020,2016,Burundi,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),3295946.869
13020,2016,Burundi,"Foreign Affairs, Trade and Development Canada (DFATD)",2975017.603
13020,2016,Burundi,Frontline AIDS,227111.3635
13020,2016,Burundi,Ministry of Foreign Affairs of the Netherlands,13338340.02
13020,2016,Burundi,UNICEF,1429382.157
13020,2016,Burundi,U.S. Agency for International Development,2071246.55
13020,2016,Cabo Verde,UNICEF,44081.919
13020,2016,Cambodia,Aidsfonds - Soaaids Nederland,20564.28571
13020,2016,Cambodia,Australian Aid,16630.6284
13020,2016,Cambodia,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),5765647.48
13020,2016,Cambodia,"Foreign Affairs, Trade and Development Canada (DFATD)",729768.0949
13020,2016,Cambodia,Frontline AIDS,115071.3979
13020,2016,Cambodia,Sweden,349264.4815
13020,2016,Cambodia,UNICEF,2574818.051
13020,2016,Cambodia,U.S. Agency for International Development,10744747.23
13020,2016,Cambodia,World Bank,4200000
13020,2016,Cameroon,Aidsfonds - Soaaids Nederland,41464.28571
13020,2016,Cameroon,Cordaid,2788858.3
13020,2016,Cameroon,"Foreign Affairs, Trade and Development Canada (DFATD)",164617.5209
13020,2016,Cameroon,International Development Research Centre,43381.772
13020,2016,Cameroon,UNICEF,2688439.201
13020,2016,Cameroon,World Bank,3278999.99
13020,2016,Canada,Aidsfonds - Soaaids Nederland,4750
13020,2016,Canada,"Foreign Affairs, Trade and Development Canada (DFATD)",295039.6241
13020,2016,Central African Republic (the),Cordaid,2723159.743
13020,2016,Central African Republic (the),Save The Children International,-3233.5072
13020,2016,Central African Republic (the),UNICEF,443719.333
13020,2016,Chad,Cyan International,24642.9568
13020,2016,Chad,UNICEF,183116.859
13020,2016,Chile,UNICEF,9356.29
13020,2016,China,Aidsfonds - Soaaids Nederland,3964.285714
13020,2016,China,Frontline AIDS,177940.1882
13020,2016,China,UNICEF,3214357.204
13020,2016,Colombia,"Foreign Affairs, Trade and Development Canada (DFATD)",73343.17798
13020,2016,Colombia,Sweden,117418.1184
13020,2016,Colombia,UNICEF,486290.37
13020,2016,Comoros (the),UNICEF,325040.116
13020,2016,Congo (the),UNICEF,42857.082
13020,2016,Congo (the),World Bank,390535.2
13020,2016,Congo (the Democratic Republic of the),Aidsfonds - Soaaids Nederland,46214.28571
13020,2016,Congo (the Democratic Republic of the),Bill and Melinda Gates Foundation,4629215.5
13020,2016,Congo (the Democratic Republic of the),Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),503695.818
13020,2016,Congo (the Democratic Republic of the),CARE International UK,188405.8509
13020,2016,Congo (the Democratic Republic of the),Cordaid,4625359.964
13020,2016,Congo (the Democratic Republic of the),"Foreign Affairs, Trade and Development Canada (DFATD)",2988154.248
13020,2016,Congo (the Democratic Republic of the),"Foreign, Commonwealth and Development Office",7432284.33
13020,2016,Congo (the Democratic Republic of the),Frontline AIDS,115071.3979
13020,2016,Congo (the Democratic Republic of the),Ministry of Foreign Affairs of the Netherlands,-5243.0708
13020,2016,Congo (the Democratic Republic of the),Population Services International,1219002.335
13020,2016,Congo (the Democratic Republic of the),Sweden,1753053.234
13020,2016,Congo (the Democratic Republic of the),UNICEF,2700069.377
13020,2016,Congo (the Democratic Republic of the),U.S. Agency for International Development,50674419.74
13020,2016,Cook Islands (the),Australian Aid,33977.51794
13020,2016,Costa Rica,Bill and Melinda Gates Foundation,503494.11
13020,2016,Côte d'Ivoire,Frontline AIDS,115071.3979
13020,2016,Côte d'Ivoire,UNICEF,5291851.681
13020,2016,Côte d'Ivoire,U.S. Agency for International Development,29729.77
13020,2016,Croatia,Aidsfonds - Soaaids Nederland,4750
13020,2016,Croatia,UNICEF,29280.807
13020,2016,Cuba,UNICEF,368509.587
13020,2016,"Developing countries, unspecified",AICS - Italian Agency for Cooperation and Development,3981960
13020,2016,"Developing countries, unspecified",Bill and Melinda Gates Foundation,69260642.63
13020,2016,"Developing countries, unspecified",European Commission - International Partnerships,-540945.8733
13020,2016,"Developing countries, unspecified","Foreign, Commonwealth and Development Office",62728275.53
13020,2016,"Developing countries, unspecified",International Development Research Centre,10.5616
13020,2016,"Developing countries, unspecified",International Planned Parenthood Federation,1314640.8
13020,2016,"Developing countries, unspecified",International Rescue Committee Inc.,375063.612
13020,2016,"Developing countries, unspecified",IRC-UK,376624.5644
13020,2016,"Developing countries, unspecified","Ministry of Foreign Affairs, Denmark",29418323.28
13020,2016,"Developing countries, unspecified",Ministry of Foreign Affairs of the Netherlands,498212098.6
13020,2016,"Developing countries, unspecified",MSI Reproductive Choices,9100612.506
13020,2016,"Developing countries, unspecified",New Zealand Ministry of Foreign Affairs and Trade,4216850
13020,2016,"Developing countries, unspecified",Sweden,124624160.9
13020,2016,"Developing countries, unspecified",U.S. Agency for International Development,163377017
13020,2016,"Developing countries, unspecified",,7284788.481
13020,2016,Djibouti,AICS - Italian Agency for Cooperation and Development,742068.8298
13020,2016,Djibouti,UNICEF,281023.767
13020,2016,Dominica,Aidsfonds - Soaaids Nederland,7000
13020,2016,Dominican Republic (the),Aidsfonds - Soaaids Nederland,7000
13020,2016,Dominican Republic (the),UNICEF,1160847
13020,2016,"Eastern Africa, regional",Sweden,158709.7528
13020,2016,Ecuador,Aidsfonds - Soaaids Nederland,3964.285714
13020,2016,Ecuador,"Foreign Affairs, Trade and Development Canada (DFATD)",73343.17798
13020,2016,Ecuador,Frontline AIDS,115071.3979
13020,2016,Ecuador,UNICEF,547171.428
13020,2016,Egypt,Sweden,0
13020,2016,Egypt,UNICEF,2514046.039
13020,2016,Egypt,U.S. Agency for International Development,2983771.7
13020,2016,El Salvador,Bill and Melinda Gates Foundation,503494.11
13020,2016,El Salvador,Frontline AIDS,115071.3979
13020,2016,El Salvador,UNICEF,701387.113
13020,2016,El Salvador,U.S. Agency for International Development,-40708.74
13020,2016,El Salvador,World Bank,3247561.8
13020,2016,Equatorial Guinea,Bill and Melinda Gates Foundation,51350
13020,2016,Equatorial Guinea,UNICEF,14056.9
13020,2016,Eritrea,UNICEF,1712775
13020,2016,Estonia,Aidsfonds - Soaaids Nederland,4750
13020,2016,Eswatini,Aidsfonds - Soaaids Nederland,3964.285714
13020,2016,Eswatini,Frontline AIDS,115071.3979
13020,2016,Eswatini,Sweden,113364.1092
13020,2016,Eswatini,UNICEF,1190339.187
13020,2016,Ethiopia,AICS - Italian Agency for Cooperation and Development,2406348.203
13020,2016,Ethiopia,Aidsfonds - Soaaids Nederland,41464.28571
13020,2016,Ethiopia,Amref Flying Doctors,1535954.022
13020,2016,Ethiopia,Amref Health Africa in Ethiopia,293450.5872
13020,2016,Ethiopia,Bill and Melinda Gates Foundation,19755565.97
13020,2016,Ethiopia,Charity Projects Ltd (Comic Relief),450102.576
13020,2016,Ethiopia,CHOICE for Youth and Sexuality,141503.3389
13020,2016,Ethiopia,Cordaid,2198575.174
13020,2016,Ethiopia,dance4life,5682.634452
13020,2016,Ethiopia,Disability and Development Partners,361052.113
13020,2016,Ethiopia,European Commission - International Partnerships,2518399.793
13020,2016,Ethiopia,Family Guidance Association Of Ethiopia,2760000
13020,2016,Ethiopia,"Foreign Affairs, Trade and Development Canada (DFATD)",4142422.6
13020,2016,Ethiopia,"Foreign, Commonwealth and Development Office",50135494.97
13020,2016,Ethiopia,Frontline AIDS,177412.2048
13020,2016,Ethiopia,International Development Research Centre,160442.7744
13020,2016,Ethiopia,International Planned Parenthood Federation,152478.6314
13020,2016,Ethiopia,Ministry of Foreign Affairs of the Netherlands,62458160.58
13020,2016,Ethiopia,MSI Reproductive Choices,1659662.081
13020,2016,Ethiopia,Netherlands Enterprise Agency,44797.05
13020,2016,Ethiopia,Plan International Netherlands,356001.4927
13020,2016,Ethiopia,Royal Tropical Institute,142307.5768
13020,2016,Ethiopia,Rutgers,5156572.271
13020,2016,Ethiopia,Save The Children International,2555661.827
13020,2016,Ethiopia,Sweden,475131.6543
13020,2016,Ethiopia,UNICEF,41175528.71
13020,2016,Ethiopia,U.S. Agency for International Development,94350770.86
13020,2016,Ethiopia,,1314.166
13020,2016,"Europe, regional","Foreign Affairs, Trade and Development Canada (DFATD)",1176864
13020,2016,"Far East Asia, regional",Bill and Melinda Gates Foundation,82000
13020,2016,"Far East Asia, regional",Rutgers,966233.2345
13020,2016,Fiji,Aidsfonds - Soaaids Nederland,3964.285714
13020,2016,Fiji,Australian Aid,90778.52615
13020,2016,Fiji,UNICEF,436061.254
13020,2016,France,Aidsfonds - Soaaids Nederland,8714.285714
13020,2016,Gabon,Aidsfonds - Soaaids Nederland,4750
13020,2016,Gambia (the),Bill and Melinda Gates Foundation,28600
13020,2016,Gambia (the),"Foreign Affairs, Trade and Development Canada (DFATD)",1549.678673
13020,2016,Gambia (the),UNICEF,429288.432
13020,2016,Georgia,AFEW International,44671.33946
13020,2016,Georgia,Aidsfonds - Soaaids Nederland,8714.285714
13020,2016,Georgia,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),382348.9053
13020,2016,Georgia,UNICEF,1650012.103
13020,2016,Georgia,U.S. Agency for International Development,16408.16
13020,2016,Georgia,World Bank,-153232
13020,2016,Germany,Aidsfonds - Soaaids Nederland,8714.285714
13020,2016,Ghana,Aidsfonds - Soaaids Nederland,3964.285714
13020,2016,Ghana,Bill and Melinda Gates Foundation,1276007.5
13020,2016,Ghana,Charity Projects Ltd (Comic Relief),6776
13020,2016,Ghana,dance4life,7761.19443
13020,2016,Ghana,European Commission - International Partnerships,5619395.947
13020,2016,Ghana,"Foreign Affairs, Trade and Development Canada (DFATD)",2285512.361
13020,2016,Ghana,"Foreign, Commonwealth and Development Office",3396266.178
13020,2016,Ghana,International Planned Parenthood Federation,271854.7938
13020,2016,Ghana,Ministry of Foreign Affairs of the Netherlands,2138288.713
13020,2016,Ghana,Netherlands Enterprise Agency,95989.5702
13020,2016,Ghana,Rutgers,228611.3874
13020,2016,Ghana,Savana Signatures,
13020,2016,Ghana,Stichting Simavi,
13020,2016,Ghana,UNICEF,4937403.366
13020,2016,Ghana,U.S. Agency for International Development,22653707.5
13020,2016,Ghana,World Bank,5967172.8
13020,2016,Greece,Aidsfonds - Soaaids Nederland,4750
13020,2016,Guatemala,Bill and Melinda Gates Foundation,2161586.949
13020,2016,Guatemala,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),126437.1849
13020,2016,Guatemala,"Foreign Affairs, Trade and Development Canada (DFATD)",4526231.302
13020,2016,Guatemala,Sweden,0
13020,2016,Guatemala,UNICEF,557719.14
13020,2016,Guatemala,U.S. Agency for International Development,4927967.5
13020,2016,Guatemala,World Bank,-1239975.91
13020,2016,Guinea,Aidsfonds - Soaaids Nederland,3964.285714
13020,2016,Guinea,Bill and Melinda Gates Foundation,808709.88
13020,2016,Guinea,UNICEF,2786315.01
13020,2016,Guinea,U.S. Agency for International Development,25209364.25
13020,2016,Guinea,World Bank,-190390.86
13020,2016,Guinea-Bissau,Bill and Melinda Gates Foundation,45500
