Destination country,Year,Donor rank,Donor organisation,USD deflated millions
Syrian Arab Republic,2020,5,Norway,184.0234757
Syrian Arab Republic,2020,6,Japan,95.44763609
Syrian Arab Republic,2020,7,Denmark,70.59010138
Syrian Arab Republic,2020,8,Canada,69.87336754
Syrian Arab Republic,2020,9,Central Emergency Response Fund,58.4227391
Syrian Arab Republic,2020,10,Sweden,49.84988419
Syrian Arab Republic,2020,-,All other donors,324.754952
Yemen,2015,1,United Arab Emirates,666.2016158
Yemen,2015,2,Saudi Arabia (Kingdom of),368.791334
Yemen,2015,3,United States of America,232.5802002
Yemen,2015,4,United Kingdom,123.0488232
Yemen,2015,5,Germany,76.63845478
Yemen,2015,6,Qatar,68.37888261
Yemen,2015,7,EC,47.35254878
Yemen,2015,8,Central Emergency Response Fund,46.57002618
Yemen,2015,9,Japan,42.40440144
Yemen,2015,10,Netherlands,29.10665904
Yemen,2015,-,All other donors,153.3486741
Yemen,2016,1,United Arab Emirates,531.9796874
Yemen,2016,2,Saudi Arabia (Kingdom of),370.8679764
Yemen,2016,3,United States of America,358.4148439
Yemen,2016,4,United Kingdom,187.9352507
Yemen,2016,5,EC,76.19706572
Yemen,2016,6,Germany,61.62873923
Yemen,2016,7,Kuwait,53.38292149
Yemen,2016,8,Japan,50.45791255
Yemen,2016,9,World Food Programme,28.7159326
Yemen,2016,10,Sweden,28.31445443
Yemen,2016,-,All other donors,166.6433517
Yemen,2017,1,United States of America,683.6628705
Yemen,2017,2,Saudi Arabia (Kingdom of),347.969946
Yemen,2017,3,United Kingdom,269.3218266
Yemen,2017,4,United Arab Emirates,221.3447512
Yemen,2017,5,Germany,216.6065535
Yemen,2017,6,EC,140.7388119
Yemen,2017,7,World Bank,81.24294849
Yemen,2017,8,Japan,64.51006487
Yemen,2017,9,Canada,38.23241809
Yemen,2017,10,Norway,37.90758464
Yemen,2017,-,All other donors,399.7743463
Yemen,2018,1,United Arab Emirates,2083.229673
Yemen,2018,2,Saudi Arabia (Kingdom of),1378.19585
Yemen,2018,3,United States of America,416.3970265
Yemen,2018,4,United Kingdom,310.396888
Yemen,2018,5,Kuwait,260.748974
Yemen,2018,6,Germany,157.5394626
Yemen,2018,7,EC,134.875709
Yemen,2018,8,Japan,57.751226
Yemen,2018,9,Central Emergency Response Fund,49.90929
Yemen,2018,10,Sweden,42.375754
Yemen,2018,-,All other donors,247.5486519
Yemen,2019,1,Saudi Arabia (Kingdom of),1370.624232
Yemen,2019,2,United States of America,901.5382801
Yemen,2019,3,United Arab Emirates,499.0969947
Yemen,2019,4,United Kingdom,260.9014492
Yemen,2019,5,Germany,190.7493319
Yemen,2019,6,EC,168.2063181
Yemen,2019,7,Kuwait,121.7369001
Yemen,2019,8,Japan,43.24919943
Yemen,2019,9,Private,40.65408563
Yemen,2019,10,Denmark,37.9617394
Yemen,2019,-,All other donors,378.7610103
Yemen,2020,1,United States of America,670.8146343
Yemen,2020,2,Saudi Arabia (Kingdom of),479.6655613
Yemen,2020,3,Germany,216.0049625
Yemen,2020,4,United Kingdom,206.6768354
Yemen,2020,5,EC,135.5144558
Yemen,2020,6,Central Emergency Response Fund,63.03540274
Yemen,2020,7,Japan,38.19504964
Yemen,2020,8,Private,37.66286051
Yemen,2020,9,Canada,32.07048454
Yemen,2020,10,Netherlands,27.62384168
Yemen,2020,-,All other donors,245.0372563
Lebanon,2015,1,United States of America,372.6124538
Lebanon,2015,2,EC,159.8300433
Lebanon,2015,3,Germany,149.5246836
Lebanon,2015,4,United Kingdom,133.430083
Lebanon,2015,5,World Food Programme,113.3933902
Lebanon,2015,6,Kuwait,100.9763607
Lebanon,2015,7,Netherlands,59.52523835
Lebanon,2015,8,Norway,40.47275298
Lebanon,2015,9,Canada,38.04462095
Lebanon,2015,10,Saudi Arabia (Kingdom of),36.19979558
Lebanon,2015,-,All other donors,187.8658586
Lebanon,2016,1,United States of America,279.9157017
Lebanon,2016,2,Germany,222.576043
Lebanon,2016,3,EC,199.0321526
Lebanon,2016,4,World Food Programme,170.3159324
Lebanon,2016,5,Private,97.5722274
Lebanon,2016,6,United Kingdom,95.80341944
Lebanon,2016,7,Norway,61.86376884
Lebanon,2016,8,Kuwait,49.74992289
Lebanon,2016,9,Netherlands,41.54475186
Lebanon,2016,10,France,40.25834179
Lebanon,2016,-,All other donors,148.5417918
Lebanon,2017,1,United States of America,296.8999394
Lebanon,2017,2,Germany,209.7529734
Lebanon,2017,3,EC,144.1965437
Lebanon,2017,4,United Kingdom,125.9040418
Lebanon,2017,5,Canada,53.58533669
Lebanon,2017,6,Norway,48.37243746
Lebanon,2017,7,France,35.78469364
Lebanon,2017,8,Kuwait,32.88698128
Lebanon,2017,9,Private,27.98593413
Lebanon,2017,10,Japan,21.58018507
Lebanon,2017,-,All other donors,133.3690145
Lebanon,2018,1,United States of America,233.308
Lebanon,2018,2,Germany,193.2158346
Lebanon,2018,3,EC,113.8969098
Lebanon,2018,4,United Kingdom,92.59879666
Lebanon,2018,5,Norway,63.40068784
Lebanon,2018,6,Canada,58.51493249
Lebanon,2018,7,Kuwait,35.17839303
Lebanon,2018,8,Japan,28.719467
Lebanon,2018,9,Private,26.42933537
Lebanon,2018,10,Italy,19.37713057
Lebanon,2018,-,All other donors,124.7224837
Lebanon,2019,1,United States of America,282.3687008
Lebanon,2019,2,Germany,274.259787
Lebanon,2019,3,EC,169.1524888
Lebanon,2019,4,United Kingdom,72.08168982
Lebanon,2019,5,Canada,42.59626814
Lebanon,2019,6,Norway,41.92982673
Lebanon,2019,7,Kuwait Fund for Arab Economic Development,38.62322484
Lebanon,2019,8,Australia,37.60647657
Lebanon,2019,9,Saudi Arabia (Kingdom of),22.94075481
Lebanon,2019,10,Japan,15.72355674
Lebanon,2019,-,All other donors,135.6144012
Lebanon,2020,1,United States of America,379.001023
Lebanon,2020,2,EC,338.1101951
Lebanon,2020,3,Germany,300.3332572
Lebanon,2020,4,Norway,60.19457773
Lebanon,2020,5,Canada,59.83603042
Lebanon,2020,6,United Kingdom,54.23028937
Lebanon,2020,7,Netherlands,43.62769296
Lebanon,2020,8,Private,42.06811609
Lebanon,2020,9,France,38.98441401
Lebanon,2020,10,Italy,27.04118565
Lebanon,2020,-,All other donors,215.9284468
South Sudan,2015,1,United States of America,405.6513288
South Sudan,2015,2,United Kingdom,196.0214013
South Sudan,2015,3,EC,157.8177791
South Sudan,2015,4,Japan,76.35311429
South Sudan,2015,5,Germany,48.77431073
South Sudan,2015,6,Private,42.27603043
South Sudan,2015,7,World Food Programme,42.10104121
South Sudan,2015,8,Canada,41.55799175
South Sudan,2015,9,Norway,39.07621656
South Sudan,2015,10,Central Emergency Response Fund,26.90353581
South Sudan,2015,-,All other donors,303.202868
South Sudan,2016,1,United States of America,574.6161149
South Sudan,2016,2,United Kingdom,177.7835908
South Sudan,2016,3,EC,176.5068155
South Sudan,2016,4,Germany,95.66707122
South Sudan,2016,5,Canada,52.9794764
South Sudan,2016,6,Denmark,43.32205443
South Sudan,2016,7,Netherlands,36.70275228
South Sudan,2016,8,Norway,32.65239641
South Sudan,2016,9,Japan,28.07055366
South Sudan,2016,10,Private,27.08594731
South Sudan,2016,-,All other donors,163.8266141
South Sudan,2017,1,United States of America,541.7022267
South Sudan,2017,2,Germany,136.3507601
South Sudan,2017,3,United Kingdom,132.5431628
South Sudan,2017,4,EC,129.6780598
South Sudan,2017,5,African Development Bank,46.68483825
South Sudan,2017,6,Denmark,43.51547414
South Sudan,2017,7,Canada,40.84351015
South Sudan,2017,8,Netherlands,39.3442537
South Sudan,2017,9,Japan,28.45482707
South Sudan,2017,10,Norway,25.44439306
South Sudan,2017,-,All other donors,344.241696
South Sudan,2018,1,United States of America,676.0848572
South Sudan,2018,2,United Kingdom,164.7726285
South Sudan,2018,3,Germany,131.2745968
South Sudan,2018,4,EC,68.69036731
South Sudan,2018,5,African Development Bank,43.400944
South Sudan,2018,6,Netherlands,43.30386096
South Sudan,2018,7,Canada,33.13407802
South Sudan,2018,8,Sweden,29.10331
South Sudan,2018,9,Norway,26.607091
South Sudan,2018,10,Denmark,23.191425
South Sudan,2018,-,All other donors,107.3806717
South Sudan,2019,1,United States of America,708.6818727
South Sudan,2019,2,United Kingdom,155.1196619
South Sudan,2019,3,Germany,124.3975338
South Sudan,2019,4,EC,55.57511381
South Sudan,2019,5,Norway,30.03639001
South Sudan,2019,6,Central Emergency Response Fund,28.47383907
South Sudan,2019,7,Canada,26.81110847
South Sudan,2019,8,Denmark,26.62168738
South Sudan,2019,9,Netherlands,26.4136339
South Sudan,2019,10,Sweden,25.93401528
South Sudan,2019,-,All other donors,101.4092523
South Sudan,2020,1,United States of America,751.8765943
South Sudan,2020,2,Germany,130.633082
South Sudan,2020,3,United Kingdom,102.8483287
South Sudan,2020,4,EC,96.28609883
South Sudan,2020,5,Netherlands,37.89621813
South Sudan,2020,6,Central Emergency Response Fund,33.28513394
South Sudan,2020,7,Sweden,32.6452797
South Sudan,2020,8,Norway,32.57170633
South Sudan,2020,9,Canada,28.00380142
South Sudan,2020,10,Switzerland,15.92006742
South Sudan,2020,-,All other donors,119.1071405
"Congo, The Democratic Republic of the",2015,1,United States of America,210.1093814
"Congo, The Democratic Republic of the",2015,2,EC,71.18831316
"Congo, The Democratic Republic of the",2015,3,United Kingdom,44.93014036
"Congo, The Democratic Republic of the",2015,4,Sweden,25.16516264
"Congo, The Democratic Republic of the",2015,5,Japan,21.90239397
"Congo, The Democratic Republic of the",2015,6,Canada,16.1294175
"Congo, The Democratic Republic of the",2015,7,Central Emergency Response Fund,15.61864814
"Congo, The Democratic Republic of the",2015,8,Germany,14.39905133
"Congo, The Democratic Republic of the",2015,9,Belgium,7.927375945
"Congo, The Democratic Republic of the",2015,10,Switzerland,7.379494485
"Congo, The Democratic Republic of the",2015,-,All other donors,52.77175752
"Congo, The Democratic Republic of the",2016,1,United States of America,178.4843713
"Congo, The Democratic Republic of the",2016,2,EC,64.56183631
"Congo, The Democratic Republic of the",2016,3,United Kingdom,40.26099209
"Congo, The Democratic Republic of the",2016,4,Germany,39.86176853
"Congo, The Democratic Republic of the",2016,5,Sweden,31.03482016
"Congo, The Democratic Republic of the",2016,6,Canada,18.13404338
"Congo, The Democratic Republic of the",2016,7,Belgium,18.04891105
"Congo, The Democratic Republic of the",2016,8,Central Emergency Response Fund,17.5893389
"Congo, The Democratic Republic of the",2016,9,Japan,14.92761843
"Congo, The Democratic Republic of the",2016,10,World Food Programme,10.66078542
"Congo, The Democratic Republic of the",2016,-,All other donors,66.41335473
"Congo, The Democratic Republic of the",2017,1,United States of America,210.4044122
"Congo, The Democratic Republic of the",2017,2,EC,73.89714558
"Congo, The Democratic Republic of the",2017,3,United Kingdom,67.14508934
"Congo, The Democratic Republic of the",2017,4,Sweden,36.36656585
"Congo, The Democratic Republic of the",2017,5,Germany,34.59979669
"Congo, The Democratic Republic of the",2017,6,Central Emergency Response Fund,27.68217604
"Congo, The Democratic Republic of the",2017,7,Belgium,23.05250682
"Congo, The Democratic Republic of the",2017,8,Canada,17.21381515
"Congo, The Democratic Republic of the",2017,9,Norway,12.18937202
"Congo, The Democratic Republic of the",2017,10,Japan,9.421626419
"Congo, The Democratic Republic of the",2017,-,All other donors,74.13964254
"Congo, The Democratic Republic of the",2018,1,United States of America,385.5997436
"Congo, The Democratic Republic of the",2018,2,United Kingdom,164.9925669
"Congo, The Democratic Republic of the",2018,3,EC,74.179535
"Congo, The Democratic Republic of the",2018,4,Germany,59.3428592
"Congo, The Democratic Republic of the",2018,5,Central Emergency Response Fund,57.93008816
"Congo, The Democratic Republic of the",2018,6,Belgium,50.53013177
"Congo, The Democratic Republic of the",2018,7,Sweden,40.78058982
"Congo, The Democratic Republic of the",2018,8,Canada,37.14419033
"Congo, The Democratic Republic of the",2018,9,World Bank,29.149999
"Congo, The Democratic Republic of the",2018,10,Norway,19.4800371
"Congo, The Democratic Republic of the",2018,-,All other donors,93.85286262
"Congo, The Democratic Republic of the",2019,1,United States of America,581.0957122
"Congo, The Democratic Republic of the",2019,2,United Kingdom,150.2578342
"Congo, The Democratic Republic of the",2019,3,Germany,81.08422716
"Congo, The Democratic Republic of the",2019,4,EC,71.05500503
"Congo, The Democratic Republic of the",2019,5,Central Emergency Response Fund,47.02485916
"Congo, The Democratic Republic of the",2019,6,Sweden,41.42545875
"Congo, The Democratic Republic of the",2019,7,Canada,28.90291103
"Congo, The Democratic Republic of the",2019,8,Belgium,17.59837639
"Congo, The Democratic Republic of the",2019,9,Switzerland,14.16564452
"Congo, The Democratic Republic of the",2019,10,Netherlands,13.85792779
"Congo, The Democratic Republic of the",2019,-,All other donors,82.10230796
"Congo, The Democratic Republic of the",2020,1,United States of America,549.395696
"Congo, The Democratic Republic of the",2020,2,United Kingdom,86.41310852
"Congo, The Democratic Republic of the",2020,3,Germany,77.11200089
"Congo, The Democratic Republic of the",2020,4,Central Emergency Response Fund,74.60587227
"Congo, The Democratic Republic of the",2020,5,EC,52.8500536
"Congo, The Democratic Republic of the",2020,6,Sweden,38.38706227
"Congo, The Democratic Republic of the",2020,7,Canada,35.91809334
"Congo, The Democratic Republic of the",2020,8,Netherlands,28.12260129
"Congo, The Democratic Republic of the",2020,9,Norway,16.25588169
"Congo, The Democratic Republic of the",2020,10,World Bank,15.40155065
"Congo, The Democratic Republic of the",2020,-,All other donors,77.96037538
Somalia,2015,1,United States of America,233.1383319
Somalia,2015,2,United Kingdom,56.30090074
Somalia,2015,3,EC,47.7050127
Somalia,2015,4,Japan,28.4507334
Somalia,2015,5,Central Emergency Response Fund,26.61517363
Somalia,2015,6,Germany,24.32271289
Somalia,2015,7,Denmark,22.96402178
Somalia,2015,8,Canada,20.0336043
Somalia,2015,9,Sweden,17.17955517
Somalia,2015,10,Saudi Arabia (Kingdom of),15.18486643
Somalia,2015,-,All other donors,89.96777742
Somalia,2016,1,United States of America,187.2169678
Somalia,2016,2,United Kingdom,116.9050734
Somalia,2016,3,EC,77.00765242
Somalia,2016,4,Germany,76.09742089
Somalia,2016,5,World Food Programme,57.48555558
Somalia,2016,6,Sweden,24.61705735
Somalia,2016,7,Canada,24.41055216
Somalia,2016,8,Saudi Arabia (Kingdom of),23.63520578
Somalia,2016,9,Japan,20.02783274
Somalia,2016,10,Denmark,18.74578418
Somalia,2016,-,All other donors,88.571372
Somalia,2017,1,United States of America,376.9731197
Somalia,2017,2,United Kingdom,248.3170229
Somalia,2017,3,EC,197.0052819
Somalia,2017,4,Germany,133.1319687
Somalia,2017,5,African Development Bank,37.2999655
Somalia,2017,6,World Bank,36.47252989
Somalia,2017,7,Central Emergency Response Fund,34.38091887
Somalia,2017,8,Canada,31.93544496
Somalia,2017,9,Japan,30.2703886
Somalia,2017,10,Sweden,26.51539785
Somalia,2017,-,All other donors,230.7966833
Somalia,2018,1,United States of America,435.7772553
Somalia,2018,2,United Kingdom,213.748717
Somalia,2018,3,EC,146.3810753
Somalia,2018,4,Germany,113.7668034
Somalia,2018,5,Sweden,26.84723184
Somalia,2018,6,"Global Fund to Fight AIDS, Tuberculosis and Malaria",22.110931
Somalia,2018,7,Canada,19.12728888
Somalia,2018,8,Central Emergency Response Fund,17.269031
Somalia,2018,9,Norway,17.1574207
Somalia,2018,10,World Bank,15
Somalia,2018,-,All other donors,134.1287237
Somalia,2019,1,United States of America,450.0998133
Somalia,2019,2,Germany,117.7861745
Somalia,2019,3,EC,93.55844074
Somalia,2019,4,United Kingdom,85.07299743
Somalia,2019,5,Central Emergency Response Fund,47.16582792
Somalia,2019,6,Sweden,30.95805991
Somalia,2019,7,Switzerland,19.18221381
Somalia,2019,8,Norway,18.02984775
Somalia,2019,9,Canada,17.93311272
Somalia,2019,10,Denmark,14.11753611
Somalia,2019,-,All other donors,114.3393833
Somalia,2020,1,United States of America,473.7815908
Somalia,2020,2,Germany,102.5294033
Somalia,2020,3,EC,78.50525559
Somalia,2020,4,United Kingdom,72.69602142
Somalia,2020,5,Central Emergency Response Fund,28.87124845
Somalia,2020,6,Sweden,25.33869967
Somalia,2020,7,Private,24.58383099
Somalia,2020,8,Canada,17.86609313
Somalia,2020,9,Japan,16.88881835
Somalia,2020,10,Norway,16.34930245
Somalia,2020,-,All other donors,119.1727698
Sudan,2015,1,United States of America,352.2560841
Sudan,2015,2,EC,51.86488643
Sudan,2015,3,United Kingdom,39.55832382
Sudan,2015,4,Central Emergency Response Fund,28.3264175
Sudan,2015,5,Japan,22.21925153
Sudan,2015,6,Canada,15.10975949
Sudan,2015,7,Sweden,14.22690167
Sudan,2015,8,Germany,11.76754573
Sudan,2015,9,Norway,11.32110197
Sudan,2015,10,Switzerland,10.95538448
Sudan,2015,-,All other donors,99.01751532
Sudan,2016,1,United States of America,326.0107497
Sudan,2016,2,United Kingdom,81.84613683
Sudan,2016,3,EC,71.28013005
Sudan,2016,4,Germany,31.11125855
Sudan,2016,5,Central Emergency Response Fund,26.11990453
Sudan,2016,6,Sweden,16.53691635
Sudan,2016,7,Canada,15.02090395
Sudan,2016,8,Denmark,11.84166974
Sudan,2016,9,Japan,10.21363366
Sudan,2016,10,Switzerland,10.19880976
Sudan,2016,-,All other donors,77.30854615
Sudan,2017,1,United States of America,264.5142531
Sudan,2017,2,EC,76.57678472
Sudan,2017,3,United Kingdom,74.08584414
Sudan,2017,4,Germany,41.96819887
Sudan,2017,5,Central Emergency Response Fund,31.78907878
Sudan,2017,6,Sweden,15.51370004
Sudan,2017,7,Canada,10.70701826
Sudan,2017,8,Switzerland,9.875476989
Sudan,2017,9,Denmark,7.304447875
Sudan,2017,10,Japan,5.526312168
Sudan,2017,-,All other donors,35.39148724
Sudan,2018,1,United States of America,426.9658651
Sudan,2018,2,United Kingdom,67.18376644
Sudan,2018,3,Saudi Arabia (Kingdom of),66.026089
Sudan,2018,4,EC,54.75813654
Sudan,2018,5,Sweden,23.105261
Sudan,2018,6,Germany,20.79472657
Sudan,2018,7,Central Emergency Response Fund,20.409988
Sudan,2018,8,Canada,13.00850716
Sudan,2018,9,Denmark,9.879416
Sudan,2018,10,Switzerland,9.093037
Sudan,2018,-,All other donors,25.43910601
Sudan,2019,1,United States of America,353.2617869
Sudan,2019,2,EC,52.81594203
Sudan,2019,3,United Kingdom,50.29378175
Sudan,2019,4,Central Emergency Response Fund,44.20622616
Sudan,2019,5,World Food Programme,29.12657105
Sudan,2019,6,Sweden,20.93767034
Sudan,2019,7,Germany,18.50986612
Sudan,2019,8,Canada,10.85421246
Sudan,2019,9,Switzerland,10.07240298
Sudan,2019,10,Netherlands,8.844916128
Sudan,2019,-,All other donors,45.0385891
Sudan,2020,1,United States of America,427.9981547
Sudan,2020,2,EC,106.8926502
Sudan,2020,3,Central Emergency Response Fund,103.47702
Sudan,2020,4,United Kingdom,99.73187703
Sudan,2020,5,United Arab Emirates,35.01147604
Sudan,2020,6,Germany,34.86437171
Sudan,2020,7,Netherlands,20.04410598
Sudan,2020,8,Sweden,17.20426866
Sudan,2020,9,Canada,13.27540615
Sudan,2020,10,Norway,12.39597868
Sudan,2020,-,All other donors,74.31061933
Ethiopia,2015,1,United States of America,192.2752708
Ethiopia,2015,2,United Kingdom,70.55526927
Ethiopia,2015,3,EC,42.48149806
Ethiopia,2015,4,Central Emergency Response Fund,28.87870505
Ethiopia,2015,5,Netherlands,18.98004853
Ethiopia,2015,6,Private,18.46757779
Ethiopia,2015,7,Canada,17.9745041
Ethiopia,2015,8,Japan,15.89375801
Ethiopia,2015,9,Sweden,12.26651369
Ethiopia,2015,10,Switzerland,11.21518042
Ethiopia,2015,-,All other donors,52.94397631
Ethiopia,2016,1,United States of America,646.372391
Ethiopia,2016,2,EC,200.9794678
Ethiopia,2016,3,Germany,105.8417972
Ethiopia,2016,4,United Kingdom,102.2391475
Ethiopia,2016,5,Canada,57.39455076
Ethiopia,2016,6,World Food Programme,30.95111576
Ethiopia,2016,7,Sweden,28.77482866
Ethiopia,2016,8,Private,26.66885186
Ethiopia,2016,9,Japan,25.25649135
Ethiopia,2016,10,Central Emergency Response Fund,21.71723777
Ethiopia,2016,-,All other donors,127.953933
Ethiopia,2017,1,United States of America,477.7451232
Ethiopia,2017,2,EC,119.9807337
Ethiopia,2017,3,United Kingdom,75.2650528
Ethiopia,2017,4,Germany,69.93076471
Ethiopia,2017,5,World Bank,52.10361412
Ethiopia,2017,6,Central Emergency Response Fund,33.10592473
Ethiopia,2017,7,Sweden,24.87856261
Ethiopia,2017,8,China,22.04339477
Ethiopia,2017,9,Canada,20.11015435
Ethiopia,2017,10,Japan,11.63878674
Ethiopia,2017,-,All other donors,82.23073942
Ethiopia,2018,1,United States of America,564.908089
Ethiopia,2018,2,EC,75.87576838
Ethiopia,2018,3,United Kingdom,48.614645
Ethiopia,2018,4,Germany,32.16864222
Ethiopia,2018,5,Central Emergency Response Fund,30.288894
Ethiopia,2018,6,Sweden,28.01444398
Ethiopia,2018,7,Canada,26.66119318
Ethiopia,2018,8,"Korea, Republic of",12.055812
Ethiopia,2018,9,Ireland,10.194121
Ethiopia,2018,10,Switzerland,7.106928318
Ethiopia,2018,-,All other donors,32.9221748
Ethiopia,2019,1,United States of America,509.2357745
Ethiopia,2019,2,United Kingdom,77.49821258
Ethiopia,2019,3,EC,62.3179912
Ethiopia,2019,4,Germany,38.21384067
Ethiopia,2019,5,Sweden,28.9200782
Ethiopia,2019,6,Central Emergency Response Fund,21.71669051
Ethiopia,2019,7,Canada,15.79621682
Ethiopia,2019,8,"Korea, Republic of",13.38230162
Ethiopia,2019,9,Denmark,9.817740804
Ethiopia,2019,10,Japan,8.511076295
Ethiopia,2019,-,All other donors,48.50526766
Ethiopia,2020,1,United States of America,524.0332006
Ethiopia,2020,2,United Kingdom,106.6029408
Ethiopia,2020,3,EC,74.78972295
Ethiopia,2020,4,Germany,41.54064644
Ethiopia,2020,5,Japan,37.28704636
Ethiopia,2020,6,Sweden,23.7234526
Ethiopia,2020,7,Canada,18.02700109
Ethiopia,2020,8,Denmark,14.71473684
Ethiopia,2020,9,"Korea, Republic of",12.6751346
Ethiopia,2020,10,Central Emergency Response Fund,8.761749929
Ethiopia,2020,-,All other donors,72.19836335
Turkey,2015,1,United States of America,114.6526098
Turkey,2015,2,EC,111.495861
Turkey,2015,3,World Food Programme,41.90304171
Turkey,2015,4,Netherlands,36.01921331
Turkey,2015,5,Germany,33.17622743
Turkey,2015,6,United Kingdom,20.07613672
Turkey,2015,7,Saudi Arabia (Kingdom of),16.09096699
Turkey,2015,8,Sheikh Thani bin Abdullah Foundation for Humanitarian Services (RAF),15.10196307
Turkey,2015,9,Kuwait,13.73740866
Turkey,2015,10,Japan,13.39781267
Turkey,2015,-,All other donors,73.18783552
Turkey,2016,1,EC,228.8597746
Turkey,2016,2,World Food Programme,164.7881711
Turkey,2016,3,United States of America,117.1623629
Turkey,2016,4,Germany,63.84225912
Turkey,2016,5,Kuwait,26.53940829
Turkey,2016,6,Japan,20.21569682
Turkey,2016,7,Private,20.02706944
Turkey,2016,8,Canada,11.97339048
Turkey,2016,9,Norway,9.96567072
Turkey,2016,10,France,6.537221215
Turkey,2016,-,All other donors,70.72250612
Turkey,2017,1,EC,239.7379754
Turkey,2017,2,United States of America,141.9790459
Turkey,2017,3,Germany,107.1720062
Turkey,2017,4,Japan,21.07502331
Turkey,2017,5,Kuwait,18.34195335
Turkey,2017,6,Norway,10.1473688
Turkey,2017,7,Canada,6.234135994
Turkey,2017,8,France,4.160777651
Turkey,2017,9,Private,3.270258674
Turkey,2017,10,Mercy Corps,3.073699568
Turkey,2017,-,All other donors,13.03582841
Turkey,2018,1,EC,1050.816178
Turkey,2018,2,United States of America,80.01163101
Turkey,2018,3,KFW Development,25.556218
Turkey,2018,4,Kuwait,19.07111935
Turkey,2018,5,Japan,9.540075357
Turkey,2018,6,Norway,8.841088601
Turkey,2018,7,Germany,3.412969
Turkey,2018,8,Private,2.844863374
Turkey,2018,9,"Korea, Republic of",1.953377381
Turkey,2018,10,Switzerland,1.234510464
Turkey,2018,-,All other donors,2.816046681
Turkey,2019,1,EC,1246.819513
Turkey,2019,2,United States of America,123.7412924
Turkey,2019,3,United Kingdom,57.37189007
Turkey,2019,4,Kuwait Fund for Arab Economic Development,21.10558734
Turkey,2019,5,KFW Development,10.6
Turkey,2019,6,Japan,9.184251464
Turkey,2019,7,Germany,8.399933165
Turkey,2019,8,Norway,7.114870189
Turkey,2019,9,Kuwait,1.367549814
Turkey,2019,10,United Nations Population Fund,1.160668836
Turkey,2019,-,All other donors,4.820870298
Turkey,2020,1,EC,585.6184492
