Destination country,Year,Donor rank,Donor organisation,USD deflated millions
Syrian Arab Republic,2015,1,United States of America,811.9727817
Syrian Arab Republic,2015,2,United Kingdom,331.9416079
Syrian Arab Republic,2015,3,EC,209.0233232
Syrian Arab Republic,2015,4,Kuwait,141.6452647
Syrian Arab Republic,2015,5,Germany,122.0479668
Syrian Arab Republic,2015,6,Private,89.9601732
Syrian Arab Republic,2015,7,Norway,86.12585806
Syrian Arab Republic,2015,8,Canada,54.98370479
Syrian Arab Republic,2015,9,Netherlands,46.7260027
Syrian Arab Republic,2015,10,World Food Programme,43.2753819
Syrian Arab Republic,2015,-,All other donors,427.9587356
Syrian Arab Republic,2016,1,United States of America,779.9779037
Syrian Arab Republic,2016,2,Germany,455.5415521
Syrian Arab Republic,2016,3,United Kingdom,352.3323615
Syrian Arab Republic,2016,4,EC,276.135354
Syrian Arab Republic,2016,5,Norway,106.0611139
Syrian Arab Republic,2016,6,United Arab Emirates,82.59497239
Syrian Arab Republic,2016,7,Denmark,67.6793519
Syrian Arab Republic,2016,8,Japan,65.99813884
Syrian Arab Republic,2016,9,Netherlands,55.32693152
Syrian Arab Republic,2016,10,Canada,50.7306293
Syrian Arab Republic,2016,-,All other donors,417.5254332
Syrian Arab Republic,2017,1,Germany,603.047947
Syrian Arab Republic,2017,2,United States of America,531.4255653
Syrian Arab Republic,2017,3,United Kingdom,234.4059271
Syrian Arab Republic,2017,4,EC,201.0607417
Syrian Arab Republic,2017,5,Norway,131.5882252
Syrian Arab Republic,2017,6,Canada,103.9743284
Syrian Arab Republic,2017,7,Japan,103.4733598
Syrian Arab Republic,2017,8,Saudi Arabia (Kingdom of),56.51775374
Syrian Arab Republic,2017,9,Denmark,56.49590929
Syrian Arab Republic,2017,10,Sweden,44.3830691
Syrian Arab Republic,2017,-,All other donors,462.2545777
Syrian Arab Republic,2018,1,United States of America,747.974245
Syrian Arab Republic,2018,2,Germany,360.496774
Syrian Arab Republic,2018,3,United Kingdom,280.7089903
Syrian Arab Republic,2018,4,EC,222.540969
Syrian Arab Republic,2018,5,Norway,154.0581417
Syrian Arab Republic,2018,6,Canada,115.8422735
Syrian Arab Republic,2018,7,Japan,76.83269313
Syrian Arab Republic,2018,8,Sweden,49.19540493
Syrian Arab Republic,2018,9,Denmark,46.26715851
Syrian Arab Republic,2018,10,Netherlands,36.37050781
Syrian Arab Republic,2018,-,All other donors,333.986504
Syrian Arab Republic,2019,1,United States of America,809.8274662
Syrian Arab Republic,2019,2,Germany,370.0579675
Syrian Arab Republic,2019,3,United Kingdom,262.0242656
Syrian Arab Republic,2019,4,EC,190.0305478
Syrian Arab Republic,2019,5,Norway,133.0017805
Syrian Arab Republic,2019,6,Canada,115.6300038
Syrian Arab Republic,2019,7,Denmark,70.48282046
Syrian Arab Republic,2019,8,Japan,56.48148138
Syrian Arab Republic,2019,9,France,55.37385537
Syrian Arab Republic,2019,10,Sweden,54.79572103
Syrian Arab Republic,2019,-,All other donors,370.0543567
Syrian Arab Republic,2020,1,United States of America,805.4144291
Syrian Arab Republic,2020,2,Germany,434.9298368
Syrian Arab Republic,2020,3,United Kingdom,254.0970842
Syrian Arab Republic,2020,4,EC,250.9534406
