Destination Country,Recipient Org Type,2015,2016,2017,2018,2019,2020
Syria,Governments,1.253164396,41.90402533,9.657341028,8.184665742,9.115488663,6.953501239
Syria,NGOs and CSOs,705.9763866,657.2947229,395.7702726,504.9386638,515.3083864,921.0023819
Syria,UN multilateral organisations,1041.826108,1332.420291,1509.93854,1204.425772,1203.684719,1166.631499
Syria,Private,4.857469696,12.22277617,24.77235622,1.361361,13.85173669,19.82882871
Syria,Pooled funds,34.48625284,136.0531399,100.2212154,156.3210649,214.3784784,277.5333344
Syria,Other,315.5440702,380.8073541,335.0749556,384.472071,364.3328789,60.99738205
Syria,RCRC,261.7173486,149.2014331,153.1927237,164.570064,167.0885782,145.4100191
Yemen,Governments,141.9777521,273.3115012,205.6862931,750.523151,212.839988,56.73498161
Yemen,NGOs and CSOs,92.4977152,203.5783575,200.2718323,200.0432176,224.0292866,320.6215287
Yemen,UN multilateral organisations,721.8123697,710.6631986,1464.359045,2174.296345,2593.812431,1566.829294
Yemen,Private,41.37848644,0.700775557,2.508073684,40.17627,37.11893953,32.04531022
Yemen,Pooled funds,57.23106506,113.703668,184.7142347,208.6102819,172.7034869,64.03821957
Yemen,Other,159.9901281,162.2575106,166.7812395,393.196601,668.6540051,48.72133947
Yemen,RCRC,639.5341035,450.3231246,276.991404,1372.122638,104.3214037,63.31067126
Lebanon,Governments,37.99597575,43.11930974,42.32727858,38.55522639,72.7108474,87.3130007
Lebanon,NGOs and CSOs,229.5084471,279.6278354,230.2451182,91.86749362,69.96381397,165.750793
Lebanon,UN multilateral organisations,991.724259,1001.48455,781.892418,784.0694667,878.4954722,1149.272159
Lebanon,Private,3.838523224,1.630650827,0.51020756,0,5.10349787,3.264277922
Lebanon,Pooled funds,21.45293389,13.76650836,13.209678,10.64726162,14.88965069,16.01106191
Lebanon,Other,60.38053998,34.50843831,36.84138144,31.047013,53.90917632,59.82056391
Lebanon,RCRC,46.97460204,33.03676088,25.29199925,33.17550969,37.82471701,77.92337231
South Sudan,Governments,3.824578291,0.640018429,72.5989757,0.640805,1.274973405,9.967400816
South Sudan,NGOs and CSOs,368.0821748,231.6982834,291.2177261,283.1079644,245.4565009,286.5508994
South Sudan,UN multilateral organisations,745.6370013,963.0148222,921.0879911,862.0537324,882.070535,928.9055782
South Sudan,Private,2.683230084,0,0,0.662847,0.060613233,0.587082719
South Sudan,Pooled funds,89.82946013,62.05247279,79.54812778,90.25032585,71.44687765,65.77085707
South Sudan,Other,42.7112002,27.97665732,22.26222667,8.347829918,15.31414157,18.90278002
South Sudan,RCRC,126.9679732,123.831133,122.0881544,101.8803259,93.8504669,70.38885305
"DRC",Governments,0,0.43209864,1.340587635,15.52285124,6.295023469,4.013799226
"DRC",NGOs and CSOs,87.76034771,104.2748423,112.93676,226.1612895,252.6702596,332.3170807
